years,program,Y0_enrol,Y0_complete,Y0_grade,Y1_enrol,Y1_complete,Y1_grade,Y2_enrol,Y2_complete,Y2_grade,Y3_enrol,Y3_complete,Y3_grade,Y4_enrol,Y4_complete,Y4_grade,Class
four,nursing,high,high,B,high,high,B,high,high,C,high,high,B,low,low,E,ok
four,nursing,high,high,B,high,high,B,high,high,C,low,low,E,low,low,E,ok
four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,high,high,B,high,high,C,high,high,C,low,low,E,ok
four,nursing,low,low,A,high,high,A,high,medium,B,high,high,B,high,high,C,ok
four,nursing,medium,low,E,low,low,E,low,low,E,low,low,E,low,low,E,fail
four,nursing,high,high,B,high,high,B,high,high,B,high,high,C,low,low,E,ok
four,nursing,high,low,B,low,low,E,low,low,E,low,low,E,low,low,E,fail
four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,high,medium,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,low,low,A,high,high,A,high,high,B,high,medium,B,high,high,B,ok
four,nursing,high,high,A,high,high,B,high,medium,B,high,high,B,low,low,E,ok
four,nursing,low,low,A,high,high,B,high,medium,B,high,high,B,high,medium,C,ok
four,nursing,low,low,C,high,high,B,high,medium,C,high,medium,B,high,medium,C,ok
four,nursing,high,high,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,low,E,low,low,E,low,low,E,low,low,E,low,low,E,fail
four,nursing,medium,low,E,high,low,B,high,medium,C,high,high,C,low,low,E,fail
four,nursing,high,high,B,high,medium,B,high,medium,C,high,high,C,low,low,E,ok
four,nursing,high,medium,B,medium,medium,C,high,low,C,high,high,C,low,low,E,fail
four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,high,high,B,high,high,B,high,high,C,low,low,E,ok
four,nursing,high,medium,C,low,low,E,low,low,E,low,low,E,low,low,E,fail
four,nursing,low,low,B,high,medium,B,high,high,B,high,high,B,high,high,B,ok
four,nursing,low,low,A,high,high,A,high,medium,B,high,high,B,high,high,B,ok
four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,high,high,B,high,medium,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,high,high,B,high,medium,B,high,high,C,low,low,E,ok
four,nursing,high,high,B,high,high,B,high,medium,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,high,high,B,high,high,B,high,medium,B,low,low,E,ok
four,nursing,medium,medium,B,high,medium,B,medium,medium,B,medium,low,B,high,medium,C,ok
four,nursing,high,high,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,low,low,B,high,high,B,high,medium,C,high,medium,C,high,medium,C,ok
four,nursing,high,high,B,high,high,B,high,high,B,high,high,C,low,low,E,ok
four,nursing,high,high,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,high,high,B,high,high,C,high,medium,C,low,low,E,ok
four,nursing,high,medium,B,high,high,C,low,low,E,low,low,E,low,low,E,fail
four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,high,high,B,high,high,B,high,medium,B,low,low,E,ok
four,nursing,high,high,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,high,high,B,high,high,B,high,high,C,low,low,E,ok
four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,high,high,B,high,medium,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,high,high,A,high,medium,A,high,high,A,low,low,E,ok
four,nursing,high,high,B,high,medium,A,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,low,low,B,high,high,B,high,medium,B,high,high,B,high,high,B,ok
four,nursing,high,medium,B,low,low,E,low,low,E,low,low,E,low,low,E,fail
four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,low,E,low,low,E,low,low,E,low,low,E,low,low,E,fail
four,nursing,high,high,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,low,low,A,high,high,B,high,medium,B,high,high,C,high,high,B,ok
four,nursing,high,high,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,high,high,B,high,high,B,high,medium,B,low,low,E,ok
four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,medium,low,C,medium,medium,B,medium,low,A,medium,medium,B,high,low,E,ok
four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,high,high,B,high,high,B,high,medium,B,low,low,E,ok
four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,high,high,B,high,high,B,high,high,C,low,low,E,ok
four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,B,high,high,B,high,medium,C,high,medium,B,low,low,E,ok
four,nursing,high,medium,B,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,high,high,B,high,high,B,high,high,B,low,low,E,ok
four,nursing,high,high,A,high,high,A,high,high,B,high,high,B,low,low,E,ok
